id,age,salary,years_experience,credit_score,monthly_expense,savings,loan_amount,transactions,rating
86,31,30762,2,676,38077,437844,85332,222,9
87,40,73703,1,793,7661,480884,70859,18,4
88,57,96434,2,783,35699,386820,159670,13,8
89,38,78079,4,751,5838,259527,313689,270,3
90,33,36577,1,835,12378,204653,348144,41,5
91,62,16214,18,374,10058,50015,404470,40,3
92,35,101339,19,339,3989,8624,312308,89,4
93,64,63114,1,601,11577,346843,686912,101,5
94,41,104234,1,361,21868,341864,645224,219,8
95,43,78230,19,802,26270,57215,35128,215,8
96,42,47980,17,544,35884,476721,616533,10,3
97,62,82194,19,317,30527,379210,722842,217,8
98,58,92806,13,697,17981,210157,789944,121,4
99,46,52792,14,488,29080,325783,597942,163,2
100,32,60807,11,403,13797,195963,382431,152,3
101,62,37301,10,643,28457,295117,329031,84,8
102,18,20141,10,670,22917,285235,441594,202,5
103,42,119292,6,332,10871,416042,375265,50,2
104,24,28777,11,673,21053,407198,781137,149,7
105,26,53346,15,477,27823,106233,150531,220,5
106,41,69703,4,311,3191,138492,544576,155,6
107,18,109977,1,755,19514,307914,384692,97,2
108,61,62819,15,548,19787,136103,272683,99,7
109,25,43469,14,747,33528,61068,213519,186,1
110,41,18845,10,303,11522,237818,141917,134,5
111,28,38290,5,535,7030,40128,833302,147,9
112,68,45699,12,472,3381,215839,76702,113,7
113,34,59252,18,621,18753,355493,13467,17,9
114,25,113682,9,670,7092,378873,998833,34,9
115,52,18293,18,847,24084,300751,46436,62,1
116,52,72089,4,595,16557,242053,677391,196,8
117,50,31608,6,699,10567,336031,480296,87,7
118,22,81273,10,357,16616,254545,977544,123,2
119,59,31619,13,829,21144,476378,520746,254,3
120,56,93006,15,847,29866,235921,226369,127,6
121,58,102908,17,707,36711,265244,309087,162,3
122,45,96653,3,812,27386,207049,199887,172,8
123,24,29779,0,363,23306,264881,522484,252,4
124,26,66040,14,719,25013,127549,515314,9,7
125,25,109830,13,445,31006,228889,547404,251,4
126,29,71325,18,571,8885,142182,184240,239,2
127,51,36630,4,316,34821,458475,406234,35,7
128,50,27178,3,397,39564,249514,933244,266,8
129,65,34935,12,751,16045,149848,896222,104,1
130,40,62258,17,542,27674,140511,937824,157,5
131,41,37784,11,778,20780,390296,951316,174,8
132,54,78722,14,500,27550,221635,211090,198,1
133,52,38027,8,772,26235,125565,396655,211,3
134,61,111544,3,478,14841,289651,540984,218,2
135,57,72853,4,807,23305,447384,540236,201,3
136,39,82359,8,752,23223,472052,500027,233,3
137,44,87388,12,569,20942,184656,764306,116,3
138,52,93608,9,533,13882,423176,984930,77,1
139,18,91669,15,785,26714,316822,472511,218,3
140,52,30111,12,637,23021,392743,323106,53,2
141,54,47312,3,747,25013,375098,348285,84,9
142,64,39161,12,656,19721,434768,798624,258,8
143,31,119823,7,348,14281,160632,547650,132,6
144,20,82313,12,795,16008,389846,549359,199,7
145,18,65374,14,645,4294,183305,386004,275,1
146,22,39014,19,592,21061,272683,447207,83,7
147,43,95308,19,449,34840,342542,390742,249,8
148,31,61389,12,844,17089,383407,261935,69,8
149,56,33161,4,559,12237,252104,971451,142,6
150,44,22490,5,621,13694,185960,460780,140,7
151,26,39502,4,376,22936,229831,157740,274,2
152,32,50757,12,409,38269,406031,605514,257,4
153,32,56111,4,846,12468,2854,783171,4,8
154,43,113273,12,722,20461,44904,766915,268,4
155,59,98245,19,693,11840,285578,619406,90,8
156,30,73645,7,534,10526,300989,920411,15,4
157,68,74055,8,629,14464,39108,98275,136,9
158,49,23998,18,624,13063,124280,592967,220,1
159,56,43906,19,450,37383,460357,336599,286,6
160,66,116026,14,845,16744,439882,127073,182,1
161,69,85192,9,331,15064,79907,873742,127,6
162,49,65477,10,571,23740,15976,7574,126,4
163,21,51901,4,667,15589,312427,239035,195,8
164,47,106271,8,791,2932,79216,402522,198,8
165,54,67021,10,615,19019,374548,722573,218,9
166,40,44092,18,667,24157,188295,34811,8,7
167,56,16242,1,379,19574,226860,387188,231,8
168,62,16831,5,471,7508,269301,400897,191,3
169,32,65721,0,557,34779,318874,487292,93,4
170,60,43511,2,578,32888,359873,687074,145,4
171,46,87782,2,803,28025,425086,199722,16,6
172,53,112003,13,790,10060,82581,774214,113,7
173,30,33302,19,636,35216,89533,261263,196,9
174,49,70568,4,820,9661,120194,701781,205,6
175,24,18232,16,625,37264,423232,660213,68,2
176,68,117062,14,471,7885,247563,92955,127,7
177,39,119301,5,383,2426,438443,237471,160,9
178,45,66507,13,823,27491,228871,289606,152,8
179,19,91508,13,780,21553,350256,586453,284,4
180,59,115128,16,843,14918,480425,385130,151,2
181,62,25683,7,717,14513,374673,227713,63,8
182,23,38664,7,638,18830,496153,793031,184,6
183,45,117364,18,619,32171,358944,684806,213,8
184,45,48172,8,603,4250,492494,657701,73,9
185,61,98641,10,571,15608,265820,841903,284,3
186,61,79340,12,413,4681,2215,307156,154,8
187,37,102236,12,706,19785,413077,517226,188,8
188,47,26017,18,325,5407,147932,191997,60,5
189,28,51613,18,536,19427,330944,640226,256,6
190,45,101130,4,609,23747,163812,289361,183,5
191,42,91920,15,532,15555,385622,612680,25,6
192,56,45348,8,848,29594,133041,531696,25,1
193,50,31448,19,564,2391,302540,297985,38,2
194,18,24491,2,312,6819,1600,414970,100,8
195,44,93648,18,795,25263,431439,780329,147,1
196,69,111557,4,615,7984,285469,693673,280,9
197,30,73759,7,683,8363,207132,647248,55,7
198,58,59553,13,615,7127,134788,109031,72,1
199,20,15968,2,555,14512,406924,197523,243,5
200,56,15368,12,740,6037,491052,344325,127,2
201,23,88960,10,414,29623,280309,431498,254,1
202,25,50010,7,598,8854,324296,834244,68,1
203,44,69154,18,423,27733,264578,904439,153,5
204,26,50851,9,555,21633,15852,652617,149,4
205,54,40496,17,346,30203,169178,319446,226,5
206,50,45936,17,762,36311,409181,494560,180,6
207,68,93858,6,649,19175,157664,70439,3,1
208,59,82005,15,422,27012,191635,915327,289,2
209,61,52493,5,330,23554,200310,832035,201,2
210,41,84795,15,354,30090,389930,313958,7,5
211,32,51390,15,452,34712,356072,240562,155,9
212,49,25292,0,755,9798,21375,908078,257,7
213,49,107377,18,585,22748,9651,694369,168,4
214,41,43365,2,335,3716,450900,513168,163,5
215,58,32207,5,555,38404,82725,744217,295,7
216,69,116735,3,477,9870,385077,559028,11,9
217,66,37912,3,847,15682,391633,952446,131,7
218,66,117455,3,553,24055,83451,181551,205,2
219,69,117517,9,807,10380,134049,283418,92,4
220,29,95771,8,320,7726,375285,683821,111,4
221,56,71572,7,374,9557,209077,367170,290,9
222,19,114083,18,759,33768,47828,849274,247,8
223,20,34276,16,477,26166,53916,744594,61,6
224,66,112459,16,681,37486,361738,795463,110,8
225,54,20534,0,336,30506,334757,236624,232,7
226,66,107005,19,419,26102,451236,831228,125,8
227,34,116610,13,300,11094,53727,93425,203,7
228,66,50670,19,610,21265,128634,355904,271,2
229,19,77147,10,507,25094,316945,842310,260,6
230,19,113099,2,453,15353,306579,803363,23,4
231,45,51486,7,614,17173,73150,307266,200,4
232,40,80557,9,606,35411,458569,732754,80,6
233,54,49268,16,803,13264,378344,848553,272,8
234,49,96335,7,819,35445,458027,980442,53,5
235,50,41336,0,396,17931,363087,846402,266,3
236,18,18641,19,789,4650,402662,743009,53,1
237,36,102132,6,306,5469,104120,488260,272,5
238,19,47959,8,311,13592,121537,300464,228,3
239,61,28306,11,813,7684,347701,200484,180,3
240,43,61182,8,648,15457,248725,743161,200,4
241,49,89123,19,306,8596,50202,845101,192,9
242,23,71326,2,799,17151,132871,167631,23,4
243,49,111895,3,774,9074,451659,84791,40,5
244,21,36498,9,823,35259,273083,367990,230,5
245,28,85198,3,356,34979,224695,574,18,1
246,34,117630,8,532,5722,171482,394317,222,7
247,55,42197,0,329,13709,458618,279903,164,2
248,41,35719,4,666,18687,17620,256762,169,6
249,22,105201,8,355,38540,443839,619326,1,4
250,69,40032,4,309,20165,457077,300146,254,5
251,51,74624,5,446,37993,363652,85868,199,5
252,23,93177,18,663,31194,97553,785739,212,4
253,39,56964,7,552,13382,401397,865784,170,2
254,28,45028,9,552,30618,498779,203482,152,8
255,65,69646,10,742,22587,304242,965785,65,1
256,33,96187,12,639,3353,441394,800751,18,9
257,50,23536,19,815,10371,192278,373270,90,6
258,26,71747,3,652,11072,45055,86384,14,4
259,23,60712,10,622,6698,21885,693973,19,6
260,33,21273,11,439,21184,150168,954003,82,9
261,46,86820,4,744,8902,26526,23909,249,9
262,20,106228,9,394,22647,417310,151853,109,3
263,37,89353,6,719,31140,4796,448158,7,8
264,53,109491,8,813,37005,118061,241090,2,1
265,36,107091,8,449,32221,256309,960818,263,9
266,43,100914,9,650,36546,349488,265894,28,7
267,20,65830,9,415,19004,490122,969790,286,7
268,36,32127,1,536,14505,55571,734020,254,6
269,37,98488,3,569,23814,215691,492819,85,1
270,49,26539,7,590,39031,207936,119294,201,2
271,24,61761,13,733,37008,136182,93177,292,3
272,69,61219,16,308,16577,479508,148342,278,1
273,58,29692,12,774,10043,255585,484886,78,5
274,50,98656,17,821,36130,180517,143071,210,5
275,57,28334,17,836,29414,174915,192200,126,6
276,56,43615,12,310,8744,31897,293250,10,7
277,35,22903,7,626,5470,235957,86810,240,9
278,57,43527,11,575,33643,142580,105306,278,7
279,18,30629,0,669,29811,321616,285129,170,6
280,28,73008,19,789,6201,293510,907087,169,9
281,45,98276,17,644,7351,131564,529815,257,2
282,42,114318,2,667,17327,52538,646870,250,6
283,67,41708,11,610,29340,402799,186120,184,5
284,40,25860,18,784,30180,326772,675201,229,6
285,48,32438,12,314,15488,263312,417157,203,1
286,47,82300,9,303,32374,356344,298210,172,5
287,59,86545,14,675,7413,66055,470342,81,8
288,52,35842,19,668,24355,388076,974158,49,3
289,24,75213,1,764,15831,54117,176404,215,3
290,33,57372,18,832,25821,86128,440163,177,7
291,43,113971,2,436,13426,194130,227030,95,7
292,65,83906,13,662,38396,156628,447644,118,2
293,69,53744,6,515,30085,243432,632844,98,8
294,66,72442,7,667,37669,315023,574966,74,5
295,19,100990,10,416,19925,261558,178372,37,9
296,18,118903,19,478,4091,479645,519790,187,1
297,65,18650,5,545,12842,287077,373350,266,4
298,29,60117,10,427,11923,17159,510054,235,8
299,22,106244,16,657,15827,415077,308393,71,9
300,54,67772,9,377,26126,128457,67692,149,9
301,49,18190,16,592,10283,356682,76151,262,1
302,26,63113,1,381,6854,407772,784509,287,1
303,58,23789,5,641,39817,333400,789226,140,7
304,52,47125,4,637,7557,84633,102547,31,6
305,36,113695,3,395,6432,132002,48128,265,7
306,65,32459,1,444,14006,384451,986082,155,8
307,33,50418,11,820,31989,36280,350759,116,6
308,20,62085,2,696,39788,290981,334572,209,7
309,37,33768,5,656,28887,185813,135163,115,7
310,41,64961,13,485,24632,80370,650246,51,7
311,50,96099,7,842,32943,433662,412834,72,2
312,41,42885,13,450,30066,101982,754099,128,3
313,69,102421,2,618,2977,34049,686881,249,9
314,28,76082,15,358,22594,431910,91569,143,1
315,66,21895,14,309,36026,214421,690500,167,8
316,25,65311,6,423,19681,142892,796828,70,7
317,53,104494,14,655,12170,194369,949361,8,6
318,55,82067,12,645,9397,279149,884847,163,1
319,57,86017,5,536,32083,226532,691162,63,9
320,37,38932,14,632,3732,480794,824774,287,2
321,52,36360,16,316,4942,219154,595712,234,5
322,65,69847,3,723,33548,442825,74824,218,9
323,42,105365,13,623,11429,123793,712686,253,8
324,52,100468,14,322,31741,446580,988089,194,4
325,42,53931,11,758,39268,326118,105664,297,8
326,46,70823,18,759,24517,71168,812304,257,9
327,35,53032,9,820,31949,241513,476093,242,5
328,63,96426,5,720,30899,109813,283359,289,1
329,35,33807,8,702,17068,439160,267112,108,6
330,19,26767,1,630,2165,454992,618486,37,4
331,52,23071,3,756,14872,216655,303197,11,6
332,33,68413,8,782,23216,436111,412366,84,1
333,58,41149,14,797,32206,273678,498345,218,4
334,53,30540,12,326,31269,330368,131739,238,5
335,50,116212,19,696,31264,88855,646899,47,6
336,21,85248,7,487,14219,370522,688642,132,5
337,50,106737,18,439,21158,241087,779483,211,2
338,31,100435,18,820,27989,1816,650244,205,3
339,38,34787,15,391,39788,258184,430273,83,5
340,65,35982,10,376,30058,496386,763957,77,7
341,37,37606,9,543,26132,121876,193445,140,4
342,25,25150,7,387,18830,388870,748495,128,6
343,24,100929,0,593,30050,99110,688939,66,9
344,20,117795,9,394,34864,440151,703696,242,7
345,34,61936,17,552,37194,427661,284235,151,3
346,50,108286,2,698,21641,142518,710361,55,5
347,65,23593,10,353,32375,358483,284600,147,9
348,29,32358,17,542,15555,408031,706032,67,5
349,68,97143,2,409,23110,356239,661109,151,3
350,39,52381,7,520,25235,368680,673222,4,8
351,39,105347,13,461,30959,77042,388887,18,7
352,63,43074,5,334,25098,3446,965711,12,5
353,47,35595,14,336,17309,346952,903121,256,5
354,55,59194,13,669,16105,133792,218810,35,1
355,55,64377,6,476,10672,289623,943111,43,8
356,62,41853,9,820,32328,459975,51290,78,6
357,68,88719,14,574,16078,341632,717145,52,5
358,25,35661,9,404,39430,362382,68605,17,7
359,44,65493,16,455,38029,59656,835934,211,2
360,44,51495,18,635,2405,297220,389329,227,3
361,51,28703,16,325,5560,47265,674049,33,9
362,38,68080,11,595,13575,33967,351272,77,5
363,47,45815,14,836,13859,390623,350934,68,6
364,50,44565,11,654,32612,54258,971447,50,8
365,45,78321,8,368,15153,126764,637231,158,3
366,64,73453,4,626,29013,49625,951536,198,1
367,50,103478,3,450,8690,137146,325225,258,4
368,22,48161,11,619,23715,257276,902677,34,2
369,65,70991,15,751,2741,180202,775008,212,9
370,36,24716,8,411,13431,283521,55540,272,4
371,21,48349,2,761,9181,89992,369425,64,9
372,52,62098,2,661,33305,54085,6734,155,7
373,66,15132,17,502,9731,40701,554920,269,7
374,34,66990,16,786,37689,51749,347970,40,1
375,61,83921,9,779,30714,377836,866607,160,2
376,45,51538,1,303,9023,328225,778105,14,7
377,47,115572,10,428,2910,271615,833046,120,5
378,46,114279,2,325,30588,172430,110702,46,7
379,63,22213,1,326,39470,397235,521345,110,3
380,23,59223,8,341,24182,104661,52585,219,8
381,52,106655,18,363,31390,412964,796931,121,4
382,58,83371,1,324,6038,115814,721561,289,8
383,54,83274,18,371,30215,29975,997906,46,6
384,41,19134,1,781,33565,470740,647728,54,9
385,46,106428,14,567,21829,169666,69193,54,6
386,66,54601,2,394,34899,266393,441557,4,4
387,63,88889,4,694,24246,119589,479284,240,3
388,48,30690,10,663,20862,62929,62341,80,4
389,52,16909,6,614,24500,292252,899261,201,7
390,50,106239,5,416,18688,359036,341632,202,8
391,69,95032,13,463,18282,22541,685546,256,2
392,38,27062,0,605,4519,176733,858871,199,9
393,49,90386,16,499,8112,91594,890035,73,7
394,40,108237,16,479,2992,282567,837126,176,7
395,50,49731,13,657,7647,87330,933719,219,4
396,20,20153,9,551,31014,59851,748322,224,7
397,35,25481,7,598,9597,421960,230093,283,2
398,42,114270,7,729,27633,124818,117827,281,3
399,59,81425,13,303,18854,66552,658280,93,2
400,48,78600,6,553,5566,385836,426638,152,5
401,20,99981,5,395,5285,139155,746603,80,1
402,57,86997,3,466,14029,169915,137400,208,2
403,63,119470,0,630,14846,30118,976623,92,6
404,41,43205,14,361,15079,308478,27798,20,6
405,67,103887,14,473,10551,243115,253650,53,8
406,49,96542,0,552,35052,339585,645709,83,9
407,64,59149,19,760,17100,177733,652762,74,9
408,39,64112,2,514,5277,197527,560867,130,7
409,40,25940,4,538,21015,96918,981750,259,1
410,19,74010,4,714,3757,318468,884604,184,4
411,44,91794,3,425,34085,250377,79973,66,7
412,59,39485,16,552,23863,190449,247509,153,2
413,19,104299,19,496,28098,436987,846986,196,9
414,43,16067,13,712,17295,93119,48515,15,1
415,34,35607,7,755,27821,458505,251577,210,9
416,57,76597,1,353,23833,46156,137183,135,7
417,50,89554,7,638,27992,245364,535207,82,6
418,26,63521,0,658,10549,7230,780776,71,7
419,60,30187,3,450,24432,295793,83001,297,2
420,65,117911,18,399,22519,304573,55926,172,2
421,56,18985,4,533,5141,493844,864343,123,3
422,46,58052,4,843,13068,65127,551905,289,6
423,59,34563,19,361,33342,430261,333043,210,1
424,43,62322,18,495,16256,68160,193602,64,4
425,52,117842,11,841,34964,335929,993573,63,8
426,67,76245,19,405,7830,26811,134273,8,8
427,42,66514,0,594,17868,345182,793430,245,5
428,41,33608,6,750,8679,60227,157735,165,7
429,30,119675,16,833,35705,303215,38099,93,5
430,24,82262,1,455,13722,41708,123959,284,4
431,53,107118,10,705,22509,207804,371399,199,6
432,62,86327,6,674,15989,59131,409890,124,8
433,37,72225,16,754,25562,499040,400176,55,1
434,18,88994,2,501,16919,200083,562794,190,3
435,25,32221,5,751,13036,429751,258754,143,4
436,63,63506,10,486,26438,195873,855391,97,5
437,33,35968,17,667,22999,436603,392313,197,1
438,31,97606,17,639,3708,181466,339038,285,9
439,29,42937,9,561,8377,432064,396715,81,8
440,68,77435,4,842,24788,439214,679917,109,2
441,40,64508,14,605,16269,317760,176926,283,5
442,32,56831,19,464,31717,426571,482940,209,9
443,45,57933,3,387,24605,87642,808384,115,3
444,51,62307,0,499,23221,422705,213835,241,5
445,19,63340,14,570,33757,309647,344977,279,9
446,49,117951,16,350,20069,402423,807255,204,6
447,40,101338,18,788,26324,169451,349731,201,5
448,39,58601,13,497,30734,318705,819133,155,8
449,68,90956,18,322,21590,400919,327580,265,5
450,42,87178,17,522,30828,282310,876248,289,9
451,39,100311,1,520,25096,450227,806806,70,3
452,39,43754,5,565,31448,400379,326685,179,1
453,66,58310,12,372,13450,445191,173008,168,4
454,69,84893,16,376,32575,246441,716030,6,7
455,59,101799,5,843,33592,464675,419884,132,3
456,23,63367,4,734,22333,173042,918704,259,8
457,32,28201,6,364,19663,88059,351453,141,2
458,60,17739,0,656,11535,75006,935536,282,9
459,54,28231,12,317,20679,110438,589945,290,3
460,50,57495,18,735,34474,406836,856338,205,6
461,25,36168,0,740,4560,219658,631743,181,7
462,61,47624,12,308,25365,399736,195460,47,5
463,61,25635,10,769,12745,89841,659175,136,5
464,22,24964,6,647,2030,61135,823607,233,1
465,56,42785,19,671,10132,101389,440737,202,4
466,21,110046,2,474,27874,55221,195320,32,1
467,23,97797,0,814,19269,477242,279880,277,9
468,62,99790,7,429,28555,467975,611430,192,9
469,49,91928,16,592,23227,80863,459439,91,5
470,69,27336,12,652,38806,454685,392939,71,5
471,47,92475,13,523,28702,419528,289049,298,5
472,64,42412,4,823,20674,117536,144628,35,7
473,52,97212,5,808,5894,458322,930948,220,6
474,57,90379,5,667,6596,323520,312151,199,2
475,69,60591,7,799,18588,37376,834206,106,3
476,33,76750,12,389,29346,79733,407319,52,5
477,30,105648,17,371,31004,46100,495956,17,7
478,67,111134,3,732,29226,222099,655381,9,2
479,59,50454,16,647,14453,36445,671333,180,4
480,47,113537,4,562,26581,328973,564373,3,1
481,36,77672,2,570,26524,118884,935892,278,7
482,34,42228,3,808,33843,444939,399928,182,2
483,36,29429,4,807,14744,97599,318109,292,8
484,45,99294,13,719,18610,61392,405360,167,1
485,43,82808,14,371,9482,94051,28462,251,2
486,54,97886,19,373,34024,13454,820169,274,8
487,43,68015,16,802,25674,345332,200386,81,5
488,40,103074,5,445,16030,311465,777382,27,5
489,26,83936,9,345,27472,483209,817116,118,7
490,29,95907,15,404,11512,288867,794968,227,4
491,18,72378,16,408,21045,250102,353985,195,9
492,18,52310,13,616,29135,301089,775628,141,3
493,64,116827,19,420,36432,460631,259930,273,8
494,51,98683,11,798,22134,443426,507804,243,3
495,49,83827,8,342,31897,437673,89997,17,8
496,65,50256,14,398,16750,365339,3331,184,1
497,42,91428,11,610,38422,181440,69831,48,7
498,57,114862,13,513,15733,432684,841732,16,1
499,62,117994,17,762,19480,270793,350507,193,2
500,18,53889,19,722,5098,390363,343642,283,1
501,33,66428,5,688,21624,439788,372247,14,3
502,56,52207,3,411,26463,240879,710378,228,9
503,22,65255,11,571,16250,138456,80609,116,1
504,39,106531,12,401,38382,260917,442907,224,3
505,46,20409,18,509,38384,153412,578711,29,2
506,20,57438,12,321,37472,181957,310143,28,5
507,29,110359,11,458,25138,23334,927989,46,7
508,43,22869,19,642,5893,366796,252932,60,6
509,33,116260,2,699,13573,72107,370700,148,5
510,68,71862,2,753,13263,302986,668625,52,3
511,54,102937,13,442,37762,11694,781878,150,7
512,39,40958,17,696,39301,358337,591312,144,9
513,46,91302,18,835,36268,79367,164125,149,2
514,31,34768,9,440,3725,492498,530021,172,6
515,45,111330,16,539,18709,212808,317778,149,5
516,22,41145,14,591,39185,183645,443605,104,9
517,64,90622,18,381,4666,393215,113584,139,8
518,66,41442,8,470,9152,381209,868464,120,9
519,47,96948,3,825,31000,157021,233809,37,7
520,63,40596,14,841,30477,376994,254041,172,5
521,69,90791,18,409,6778,434088,662286,124,4
522,22,57406,15,511,18169,82884,568054,278,8
523,29,55524,7,737,19668,319079,484827,212,2
524,33,38332,16,621,19762,279639,640029,194,1
525,43,30764,0,383,21945,339412,263707,21,3
526,43,42563,6,675,23836,386317,605651,241,7
527,65,102675,17,352,12079,363917,898435,145,1
528,38,51370,11,795,20362,97404,341571,292,5
529,56,20062,15,555,14919,380030,811364,142,5
530,53,59645,0,519,22800,284821,773774,165,3
531,50,22244,14,399,15758,143532,86474,134,1
532,47,21372,6,428,30874,114918,991702,178,5
533,54,100501,16,518,31298,90501,215906,85,8
534,40,79471,2,776,16156,189583,494506,205,9
535,27,31956,10,757,18239,340025,933090,38,6
536,22,55473,5,321,9089,427053,800458,166,1
537,53,28894,5,628,15014,39724,166460,24,5
538,51,113918,14,779,25318,146833,928958,18,2
539,69,84586,6,638,28866,76153,646145,160,1
540,48,31709,10,478,7917,236450,730229,222,3
541,27,96258,16,720,17350,69108,37171,102,5
542,36,30210,17,781,11286,494174,545331,89,9
543,49,64510,18,348,7742,314555,17422,158,7
544,18,117081,7,329,39021,246861,678311,88,6
545,22,53674,19,384,3839,219900,28443,133,9
546,62,115025,7,801,20335,141995,929246,260,6
547,21,32733,10,845,16661,367156,554079,179,4
548,33,35080,2,628,13743,428345,914017,289,7
549,41,117200,13,733,20891,58676,344118,115,2
550,33,68412,8,548,30483,421044,581553,287,2
551,19,73971,0,433,33135,31182,25877,83,6
552,66,54709,0,664,31557,446628,635292,237,5
553,45,74846,11,724,13682,84042,957684,239,6
554,49,80480,10,714,14798,265101,143175,66,2
555,44,67960,0,811,31039,227714,367573,148,2
556,37,118550,19,684,16198,309153,69003,204,1
557,41,56152,11,687,34104,457409,263638,114,2
558,29,42250,16,748,9603,320947,823333,189,7
559,67,100765,14,602,21009,157865,200311,292,2
560,52,63137,1,398,31965,89618,86785,84,3
561,50,97011,17,605,25784,317281,965771,276,6
562,50,61412,15,341,31340,56931,573622,100,6
563,68,58876,3,767,4153,473083,296148,274,9
564,60,109547,7,739,6761,386334,929931,198,2
565,54,88664,1,626,25569,429873,172652,34,7
566,29,65227,13,332,5566,416559,572894,79,1
567,20,47450,14,711,29254,441999,845320,131,6
568,18,99433,8,413,36612,47637,757791,72,9
569,50,88704,1,807,29160,434123,65770,243,8
570,57,21861,16,355,14206,264902,524360,139,6
571,27,76914,9,651,3533,64566,356823,174,6
572,60,78888,8,628,7596,295057,808583,17,6
573,61,94286,1,845,23153,369529,984829,47,8
574,46,76293,18,569,33069,234717,582259,30,2
575,30,97524,16,495,8358,458486,500379,40,9
576,29,83515,10,712,34035,165311,954295,199,8
577,48,38524,16,378,36459,458826,778833,156,2
578,63,22065,9,382,36356,54569,715370,284,8
579,19,52684,17,436,22137,488564,995044,59,1
580,68,103720,5,838,18481,495700,534819,214,6
